FBgn	mean	anc_v	fc	f-value	connectivity	ts_1-tau
FBgn0000008	3.12535518048384	0.0460555575916102	0.00912137168288157	1.48085521012351	3	0.384166666666667
FBgn0000014	3.17997828213573	0.0559266894296195	0.157713266456681	3.5712897458608	998	0.100071736011478
FBgn0000015	3.27297437130364	0.0160248456485369	0.179996283147564	0.567646071414962	967	0.100958316579547
FBgn0000017	4.39887771488796	0.010950373333728	-0.0709979916947695	2.54961161367521	13	0.439110305958132
FBgn0000018	2.08915572589809	0.0226565671169288	-0.0421411605678897	0.871451022796975	3	0.470168612191958
FBgn0000024	4.71029723602502	0.0225983003734681	-0.278854767093871	3.00830096366004	5	0.276581932485992
FBgn0000028	1.90919125757261	0.0501978401558934	0.128331528799477	2.58153978097435	2	0.158831908831909
FBgn0000032	3.02351275781719	0.00964941366146129	0.15795602174509	1.36028742981163	14	0.267184633646272
FBgn0000037	3.1499439304685	0.0179759008900072	-0.147972441318692	0.518355350347713	33	0.083846785787636
FBgn0000038	4.99549403147553	0.0156028580193021	-0.193857117020053	3.29586634478172	3	0.159596428755741
FBgn0000039	2.61503223179165	0.0152431133288097	-0.085452164601637	2.01271670330075	7	0.101052551870362
FBgn0000044	6.63185360706768	0.0236896704700214	-0.374756354457319	2.60337788401512	13	0.126013042408334
FBgn0000045	6.92773514815787	0.0314029087760159	-1.01988190016355	1.82234514991079	2	0.083133718472594
FBgn0000046	5.85524266765271	0.0214578358901186	-0.418682579631641	1.62028534547471	1	0.186942426955858
FBgn0000047	5.4846456391076	0.0801471179929784	-1.58902699782125	1.6754440358203	6	0.0243049738741969
FBgn0000052	4.61825530058025	0.027461971290268	0.180661947844235	0.909059942780132	11	0.296621909633419
FBgn0000053	4.70592591258768	0.0495991969224116	0.328877801664461	1.48702398175919	14	0.328296703296703
FBgn0000054	3.02168133281334	0.0156586016451941	0.029042837567402	0.818078173292163	3675	0.601305527297389
FBgn0000055	7.99785703003563	0.0803195845644861	0.525088066005829	2.40734027302373	7	0.350089393310812
FBgn0000057	3.88689919809448	0.00581955670800363	0.00133102808356761	0.53104959274233	13	0.242012012012012
FBgn0000063	2.47179103735948	0.119599163227948	0.228702880968023	10.8842657964624	27	0.042075736325386
FBgn0000064	8.51118538433874	0.0106500061752163	-0.199417919362378	1.60874120002335	35	0.255145796459001
FBgn0000077	2.14770205464397	0.0093120770869201	-0.0429420587130498	3.10832479215578	72	0.672805958132045
FBgn0000083	5.31074303472831	0.00822655912275628	0.0787110118393017	0.863280429536188	16	0.311185826268335
FBgn0000092	2.41168023858025	0.1469251051965	0.671728198047308	4.41531358644889	1	0.0586833029011971
FBgn0000097	4.23450131977342	0.0145368943192225	0.109709021387787	1.09598889150948	390	0.312600536193029
FBgn0000099	3.86655357536366	0.0174807528352418	0.198428734773641	2.86763479226438	100	0.284958645893441
FBgn0000100	6.61832273867884	0.00822886870389591	-0.00313206246968973	1.39976499095736	8	0.341406133163317
FBgn0000108	5.51791650627389	0.0128776838091643	-0.190774927346058	1.33038889254889	10	0.170681153728673
FBgn0000109	2.15683046660625	0.0167920955199056	-0.0729380699835387	2.19776938151043	8	0.487231182795699
FBgn0000114	6.40955879382606	0.0136130260554811	0.0678041293249168	1.34036801370302	22	0.064337897253289
FBgn0000115	3.28396884342571	0.0162603055842098	0.0302929834824257	0.689149890081989	67	0.313917211992086
FBgn0000116	7.6574390154055	0.0131034032354902	-0.237899545288336	1.10993757531099	20	0.468880010214613
FBgn0000117	5.43206495212718	0.00837693064304046	-0.0446930783306922	1.23968182233269	140	0.667147199499352
FBgn0000119	3.74939157863142	0.0074484156903148	0.0196737571067385	2.32873759412436	52	0.333191910620846
FBgn0000120	7.08237636135987	0.00823241543547352	0.0987421527986414	3.08860354610735	13	0.015115696962955
FBgn0000121	7.44874025605867	0.012351838331653	0.139670085869923	9.00104928471284	6	0.014432832365075
FBgn0000139	3.20091761022093	0.0192068867528904	-0.0965666044711828	3.45778563248998	116	0.551101856671872
FBgn0000140	3.50749508232306	0.0186869104079919	0.0640620275283596	3.9434153461428	19	0.010094389092816
FBgn0000146	1.81544494429097	0.0448608209767288	-0.130896506691176	3.94446453903446	6	0.038740520936367
FBgn0000147	3.18373335486483	0.0125336564722034	0.0845313936396038	1.09268991785044	58	0.015600037590452
FBgn0000150	5.99525603013713	0.0117602046649097	0.0521680948091726	0.775982270147571	38	0.360437051532942
FBgn0000152	2.83872837613987	0.0257825198253582	-0.149793190128935	1.79635549744254	10	0.310301987767584
FBgn0000153	4.88084115151173	0.0179278333926708	-0.219984444581332	1.48236118975619	11	0.086357995967116
FBgn0000157	2.67821816062567	0.0650638715808216	-0.091666765975077	2.09056602557055	289	0.158589122240172
FBgn0000163	4.73901547046322	0.00999439963436804	-0.0254473579630409	1.69279434469686	65	0.512400153058784
FBgn0000173	4.31934062260004	0.00641977262260226	-0.0899395217862729	1.71747109426197	18	0.571358009757671
FBgn0000179	1.51619727745764	0.0302880675368253	-0.000782381818652595	1.12836318179198	118	0.172782874617737
FBgn0000180	1.39624535322252	0.0343640286798044	-0.0586654935867079	6.79356174388188	18	0.085874629394324
FBgn0000181	5.2508768799418	0.00745384488220899	0.00700095565680631	0.811473850033435	13	0.342061801796472
FBgn0000182	5.07054334680486	0.0187382405128569	0.0600320717712534	4.86978623995036	8	0.00570223244923496
FBgn0000183	4.87119460341669	0.011963239941354	0.0586128020177937	3.59393447849605	48	0.610578765810655
FBgn0000206	3.66097891441069	0.0191008281960919	-0.0272013206290461	1.84990110729989	6	0.015151515151515
FBgn0000210	2.37398504830777	0.0149955500993166	-0.179724077415297	1.28141928508256	25	0.266826923076923
FBgn0000212	4.26770050181049	0.0147896931627293	-0.00530579295918875	12.4223882871089	156	0.490369496855346
FBgn0000221	1.43335241828257	0.0141448966568796	-0.00446346852467007	1.65190799030636	51	0.444762684124386
FBgn0000228	3.78100749064135	0.0122211988276812	-0.100836726375269	2.44016531604755	113	0.445155783183952
FBgn0000229	4.02929706059173	0.0143859222566308	0.0859801388976012	4.43089119295842	31	0.308425220158366
FBgn0000239	4.76747650815075	0.00611006058714376	0.114677051360915	0.867423730897571	68	0.425646807500593
FBgn0000241	2.4030834253244	0.0230454555928786	-0.202138375533119	2.69618318806068	2	0.069562939679689
FBgn0000244	4.79768439980839	0.010858058751906	-0.024082747006477	3.09196849158683	3	0.451485121925019
FBgn0000246	2.28694050470118	0.209527632771609	-0.0740774303494165	11.1000284128481	39	0.341269841269841
FBgn0000247	4.65634122865999	0.010394551916091	-0.026825484595526	1.24431053124562	10	0.676204819277108
FBgn0000250	5.08595146923427	0.00782820152396098	-0.0178127411002149	1.70026834449532	94	0.263293218103007
FBgn0000251	3.91065162501953	0.0102101452875586	0.128618712273875	0.505906221971452	2448	0.03974852812226
FBgn0000253	6.88658911584269	0.0100914715983535	-0.0378668437422521	2.94514557880627	9	0.187812314446023
FBgn0000256	5.60441474470857	0.0147524445074181	0.0625472999628964	2.9176064129144	17	0.084368530020704
FBgn0000257	2.85967492411468	0.00626078167007206	-0.0412690533683	0.772858518634364	35	0.531954254961319
FBgn0000259	4.91574192674796	0.00865962484818525	-0.00349887090000309	1.59541074501513	16	0.68523164408764
FBgn0000261	6.89974808420197	0.0154523846599128	0.119345798035279	1.00277793865412	82	0.182858948049981
FBgn0000273	3.61197967151019	0.0187648004137952	-0.111647384166432	0.676596848315151	14	0.520442136103343
FBgn0000274	3.90299411852945	0.0249390505866776	0.0850658607607349	4.25024562428892	13	0.00186559597680203
FBgn0000283	4.03783726703721	0.00912487041098561	0.0823429853079911	1.32071675178655	161	0.629132699275362
FBgn0000286	4.62974379300568	0.011043894878071	0.0552983013563446	3.03838888667685	229	0.571460573476702
FBgn0000287	3.59518108887621	0.101715824696307	0.120127116721359	1.54988380719515	250	0.044042469524184
FBgn0000289	4.72059993892287	0.0108207683774091	0.13351178858175	1.90467465048118	907	0.410876207372363
FBgn0000299	5.70994134022159	0.0364539283765322	-0.416621789409554	0.882616020539603	9	0.242595923261391
FBgn0000303	3.70914003469701	0.0128369414210217	-0.198485102343624	1.34728055401631	2	0.112562548113934
FBgn0000307	3.88692662328524	0.0129419718216706	0.0140205116297969	1.29663317553963	524	0.517857142857143
FBgn0000308	6.18402879321588	0.0106180430321369	0.0238492604858464	2.21887815946475	32	0.520901732433046
FBgn0000316	2.71982420749137	0.00742248563655094	0.125341141587607	2.13907939197054	40	0.802725502920182
FBgn0000317	3.86590481165335	0.0119673176158949	-0.126034029359567	1.09990696180434	23	0.271718906540719
FBgn0000318	4.44575414073297	0.0103672086881793	-0.0377972832601548	0.341541945186933	13	0.418634429716904
FBgn0000319	6.22740329405275	0.00694304603146192	0.0128411059991871	2.26746640125682	58	0.67911097187413
FBgn0000320	3.01164473408165	0.00656097259056091	-0.0393526665501297	3.1980364736905	50	0.046040255831452
FBgn0000326	3.47888974980635	0.0214205063109384	0.0623877947631488	6.57448941737475	29	0.509787234042553
FBgn0000330	2.91682863162264	0.00789757815201016	-0.0639560876285012	1.47777084424772	79	0.578732912723449
FBgn0000339	3.8730409941916	0.00889654499434069	0.0737833833349516	0.509756071662297	86	0.449155011655012
FBgn0000346	4.8636648635799	0.00490661013020828	-0.105512991707974	5.71916440591647	2	0.171048103630509
FBgn0000352	2.95695410517801	0.00884163299823667	-0.108206017062592	1.14898178764361	116	0.213947990543735
FBgn0000370	7.05528127071785	0.00755140286787048	-0.0494774780615796	1.36304430605159	129	0.486705677831931
FBgn0000376	2.96944905649277	0.00949322665039923	0.040508255577527	2.2227010155499	100	0.578828828828829
FBgn0000377	3.12340892629135	0.0108444228318253	0.047226460646755	1.13960155173429	119	0.562146892655367
FBgn0000382	4.8464437641842	0.0111331523128504	-0.0531489842113433	0.787232279026255	25	0.392800711040885
FBgn0000384	1.96417114937246	0.0334570895932341	0.00796638674887381	1.33966367391887	9	0.648528595224875
FBgn0000392	5.9201711790735	0.0119253895213588	0.14404577012996	4.8912798043275	7	0.004286558927868
FBgn0000394	3.81943139597908	0.0115809716282041	-0.00471069456454017	3.34220202456543	20	0.228887089310504
FBgn0000395	3.13345936833496	0.0135308094250384	0.0988839537179726	8.67284279293502	3	0.356135613561356
FBgn0000404	3.93609915388145	0.0134825737706671	0.0667632213843868	2.92945616662824	100	0.03343669250646
FBgn0000409	6.98122774012966	0.0163238910995948	-0.421895258168878	0.474418811585128	9	0.26530826603608
FBgn0000411	2.00700070904661	0.0193153115839826	-0.152558007045804	0.928925136153509	2624	0.044078257831606
FBgn0000412	5.52926086236586	0.00586961338602158	0.011921017433403	1.02456852717397	1240	0.292762152247019
FBgn0000413	3.94685381312803	0.0149989893794867	0.0656017063970621	1.08089018604621	1821	0.653808243727599
FBgn0000414	4.5389936966265	0.0202324043606928	-0.0924985082548498	1.79461812771561	44	0.577250608272506
FBgn0000416	6.89846314167615	0.0134209785926571	0.131256738931422	1.51821303629282	12	0.5158994804881
FBgn0000422	4.37887414050237	0.041784783690797	-0.287884094113443	15.6566650094736	5	0.134063064872464
FBgn0000426	2.29941656995014	0.0370785759577274	0.025408280793941	3.35192830569345	140	0.160826662639078
FBgn0000439	1.29442457459001	0.0292057377619547	-0.194234111230613	0.837858849249851	491	0.020124716553288
FBgn0000442	2.93340943014868	0.0127298049475889	-0.0793314085176395	2.29403930897854	3	0.182883817427386
FBgn0000447	4.53911197498536	0.0117469983977135	0.0508781995837593	2.33786131040495	53	0.088168913398693
FBgn0000448	3.29867609377621	0.0175635528189493	-0.285446582166766	1.75922758943083	39	0.161214192708333
FBgn0000451	2.18475363406947	0.0406711514436934	-0.076854871824403	0.887328097434273	10	0.019188712522046
FBgn0000454	4.73859646945153	0.0113908652727837	0.0478114579521272	1.66816885068693	11	0.197905432252938
FBgn0000455	3.92276937205398	0.0176346932648024	0.124662426735857	0.780954019713899	39	0.245238863783086
FBgn0000459	1.73821107957631	0.0384621159167846	0.122462793640112	0.968043132497145	297	0.367021276595745
FBgn0000463	2.44505542417965	0.0319368681593591	-0.0376756187252238	20.9374788571825	13	0.232791956689869
FBgn0000464	4.61016740251058	0.0151600021296026	-0.11278763132652	1.45019764438073	2	0.226380776718926
FBgn0000473	5.63778311057476	0.328594025352621	-0.325042256076827	2.98432851689662	1	0.155222321695016
FBgn0000477	3.63615159112004	0.0647422146764062	0.23527779305638	3.79917916082568	2	0.011278089864428
FBgn0000479	5.58632517567151	0.0261811500032808	-0.127652247224654	0.621897024384934	15	0.272933965994464
FBgn0000482	2.89503654283089	0.00894643317780934	-0.0166322243247137	1.370192224569	104	0.364453665283541
FBgn0000489	4.82660885840546	0.00901824365139314	-0.0282472739304449	0.902172113409538	18	0.22542123975885
FBgn0000490	3.37652484347444	0.0136980472447279	0.138349480483742	0.769555608103373	56	0.0923897781522039
FBgn0000492	2.39022564940223	0.0140338134657847	0.278544057725768	2.91010173984505	257	0.17580043213514
FBgn0000497	2.67701962399985	0.0367981089372865	-0.579805430998543	0.583811658030664	14	0.242179863147605
FBgn0000499	4.08229041931483	0.00712300298959012	0.0280793272702629	1.38071678998032	115	0.215491923641703
FBgn0000504	4.68922585215512	0.0553858695262938	0.294947957917321	1.15397659980084	18	0.385186620173059
FBgn0000524	2.3843491475116	0.0133424032811985	-0.0630438037474218	1.04921730777576	48	0.454074074074074
FBgn0000527	3.77294607706013	0.102756648137653	-0.381045835954448	1.86976884767092	3	0.072375858770328
FBgn0000533	2.76897065738114	0.0152585334551472	0.0986609785894155	3.11580593324149	23	0.161333691852649
FBgn0000535	2.39664885067523	0.0361209796655484	-0.190219438988684	0.452937608418	10	0.172361809045226
FBgn0000536	4.93419691548514	0.00902203577301395	0.263319614800112	5.73612314173763	19	0.425948295012773
FBgn0000541	5.3570600157152	0.0133231591153988	0.0468788529843073	0.761994147771919	851	0.541865711252654
FBgn0000542	2.48972612872459	0.0263773523535529	-0.272799912490948	0.793250117080507	28	0.294776119402985
FBgn0000543	3.10655493239802	0.0141331226953667	-0.225327292039066	1.42489658392189	12	0.744417862838915
FBgn0000546	3.53271872778125	0.0158728513130719	-0.161921914054893	2.21281109415515	158	0.411744909978126
FBgn0000556	7.99949720938402	0.00761123078539317	0.0885416263605627	1.39127434527348	26	0.321236848461329
FBgn0000557	6.09928825310175	0.0139153519011737	-0.241810748693077	3.98525917766757	17	0.128188982775431
FBgn0000559	7.94246011359838	0.00856062317644775	0.0230773160582375	3.76821756767543	87	0.471162244324529
FBgn0000562	4.94775926675636	0.0125927054686456	-0.108222240043909	5.95390813692144	11	0.438127467569092
FBgn0000565	4.54527689236248	0.140907219771116	0.00216314332087629	14.2816789597697	25	0.136482341866327
FBgn0000566	3.67266786742838	0.0256558987790876	0.0612440259272708	2.78144641928799	48	0.297406344504104
FBgn0000567	3.28795967696644	0.0174672985611102	-0.199187097497914	1.87727827089364	372	0.591043307086614
FBgn0000568	4.83922304835062	0.0169777179989239	0.0307989085317231	2.56343432678282	21	0.513285519125683
FBgn0000575	3.29214054019009	0.0186166596112206	-0.0461827461458635	1.8687314177497	18	0.464666299205365
FBgn0000576	2.06987293141887	0.0249497143824603	0.0674389452651978	0.899734442427038	421	0.116504854368932
FBgn0000577	1.21973597569829	0.0317762883417671	0.231816183203745	1.80105229437419	1979	0.189880952380952
FBgn0000578	3.85475252349343	0.0193597784013347	-0.155920299066592	1.4958456400352	49	0.440946930280957
FBgn0000579	7.0149827398174	0.00971278480532128	-0.371577213797665	0.842141562773661	45	0.447205853047513
FBgn0000581	4.67788208017797	0.0176494840765054	0.00369259995771697	0.851242987778821	39	0.557077625570776
FBgn0000588	2.00992090173143	0.0325450815724587	-0.12978406484901	1.33689551905914	28	0.305676066522054
FBgn0000592	7.60322614043678	0.0333951299926508	0.161738118476689	2.84630059406159	5	0.08679870787273
FBgn0000611	4.78573440567456	0.0105314484564731	0.022173582108393	2.06004105779632	1260	0.691525111632832
FBgn0000615	7.19768537699739	0.0210218672114671	0.0497733040693229	2.25540772469385	12	0.00391233950877501
FBgn0000617	2.23243481256697	0.0127869549272061	-0.0674690530059753	1.58509010349583	144	0.389142567224759
FBgn0000618	1.61399291978921	0.0170270352972261	0.0828942282464336	0.987148183690836	91	0.42975040257649
FBgn0000625	1.24315655528993	0.0111875183152726	-0.15504712022656	3.45074356978396	125	0.033126876876877
FBgn0000629	3.20657051117124	0.0119368039412254	0.0927696056644327	2.55217884099191	1350	0.749562171628722
FBgn0000633	2.11551536288191	0.0241570342142797	-0.120578174811169	0.844601526606919	40	0.190087145969499
FBgn0000635	4.84841332296411	0.00899459141925518	0.0698983197722459	2.15101705623682	5	0.102783987704345
FBgn0000636	4.17373002034781	0.011855019399588	0.00564224456405836	1.60244585912783	3	0.50354394491697
FBgn0000640	3.85399383633252	0.0361671319977572	0.177088897114833	1.38939456356566	1	0.202150537634409
FBgn0000658	1.54940882177375	0.0434837061480977	-0.358693144066686	3.31086386910576	15	0.212287104622871
FBgn0000659	4.10901553904029	0.0210024583281617	0.115657333384543	2.15020095413546	161	0.310991855065844
FBgn0000662	4.11551935542391	0.00819859426326526	0.0145148017967198	1.63203090660531	78	0.525176605881387
FBgn0000667	6.24529188727348	0.0157235679432902	-0.602472606726384	2.24964625047968	14	0.328810941981028
FBgn0000709	3.43728664550286	0.00739421472447699	-0.0259121849622823	0.827530256581169	40	0.561540822590546
FBgn0000711	4.91017699412401	0.00771879493031911	-0.0530414855973017	2.30743396056693	13	0.297171297171297
FBgn0000715	2.21029542632911	0.0213943864767134	0.060473692802184	5.9847446056881	3	0.020135239900077
FBgn0000719	3.20661910753514	0.0110665102164345	-0.0626344478493793	0.857283997570394	8	0.304217398976531
FBgn0000721	5.45028820858783	0.0111020971859119	0.0630336198042435	4.15713524040926	42	0.491106719367589
FBgn0000723	4.68086719616281	0.00934501622305071	-0.170002609034816	2.59427711481478	15	0.27457223092999
FBgn0000810	3.16377478217075	0.0100496880839689	-0.179411664272773	1.02199654832875	128	0.628898128898129
FBgn0000927	0.654652244850132	0.0876658224317496	0.0907392803819427	3.80774434901821	1	0.217054263565891
