FBgn	mean	anc_v	fc	f.value	connectivity	ts_1.tau	rep_spe
2	FBgn0000014	3.17997828213573	0.0559266894296195	0.157713266456681	3.5712897458608	998	0.100071736011478	2
6	FBgn0000024	4.71029723602502	0.0225983003734681	-0.278854767093871	3.00830096366004	5	0.276581932485992	5
7	FBgn0000028	1.90919125757261	0.0501978401558934	0.128331528799477	2.58153978097435	2	0.158831908831909	2
8	FBgn0000032	3.02351275781719	0.00964941366146129	0.15795602174509	1.36028742981163	14	0.267184633646272	2
10	FBgn0000038	4.99549403147553	0.0156028580193021	-0.193857117020053	3.29586634478172	3	0.159596428755741	3
12	FBgn0000044	6.63185360706768	0.0236896704700214	-0.374756354457319	2.60337788401512	13	0.126013042408334	6
13	FBgn0000045	6.92773514815787	0.0314029087760159	-1.01988190016355	1.82234514991079	2	0.083133718472594	10
14	FBgn0000046	5.85524266765271	0.0214578358901186	-0.418682579631641	1.62028534547471	1	0.186942426955858	10
15	FBgn0000047	5.4846456391076	0.0801471179929784	-1.58902699782125	1.6754440358203	6	0.0243049738741969	10
17	FBgn0000053	4.70592591258768	0.0495991969224116	0.328877801664461	1.48702398175919	14	0.328296703296703	2
19	FBgn0000055	7.99785703003563	0.0803195845644861	0.525088066005829	2.40734027302373	7	0.350089393310812	5
21	FBgn0000063	2.47179103735948	0.119599163227948	0.228702880968023	10.8842657964624	27	0.042075736325386	4
22	FBgn0000064	8.51118538433874	0.0106500061752163	-0.199417919362378	1.60874120002335	35	0.255145796459001	5
25	FBgn0000092	2.41168023858025	0.1469251051965	0.671728198047308	4.41531358644889	1	0.0586833029011971	7
27	FBgn0000099	3.86655357536366	0.0174807528352418	0.198428734773641	2.86763479226438	100	0.284958645893441	3
29	FBgn0000108	5.51791650627389	0.0128776838091643	-0.190774927346058	1.33038889254889	10	0.170681153728673	3
33	FBgn0000116	7.6574390154055	0.0131034032354902	-0.237899545288336	1.10993757531099	20	0.468880010214613	2
36	FBgn0000120	7.08237636135987	0.00823241543547352	0.0987421527986414	3.08860354610735	13	0.015115696962955	2
37	FBgn0000121	7.44874025605867	0.012351838331653	0.139670085869923	9.00104928471284	6	0.014432832365075	2
39	FBgn0000140	3.50749508232306	0.0186869104079919	0.0640620275283596	3.9434153461428	19	0.010094389092816	2
44	FBgn0000153	4.88084115151173	0.0179278333926708	-0.219984444581332	1.48236118975619	11	0.086357995967116	4
51	FBgn0000182	5.07054334680486	0.0187382405128569	0.0600320717712534	4.86978623995036	8	0.00570223244923496	2
58	FBgn0000229	4.02929706059173	0.0143859222566308	0.0859801388976012	4.43089119295842	31	0.308425220158366	2
