FBgn	max_tissue	tau_male_4
FBgn0000003	Midgut	0.833223576874017
FBgn0000008	Eye	0.615833333333333
FBgn0000014	Testis	0.899928263988522
FBgn0000015	Rectal pad	0.899041683420453
FBgn0000017	Head	0.560889694041868
FBgn0000018	Testis	0.529831387808042
FBgn0000022	Hindgut	0.869047619047619
FBgn0000024	Thoracicoabdominal ganglion	0.723418067514008
FBgn0000028	Testis	0.841168091168091
FBgn0000032	Accessory glands	0.732815366353728
FBgn0000036	Brain	0.844903581267218
FBgn0000037	Brain	0.916153214212364
FBgn0000038	Head	0.840403571244259
FBgn0000039	Brain	0.898947448129638
FBgn0000042	Midgut	0.774212399901153
FBgn0000043	Testis	0.949850927047424
FBgn0000044	Crop	0.873986957591666
FBgn0000045	Carcass	0.916866281527406
FBgn0000046	Testis	0.813057573044142
FBgn0000047	Thoracicoabdominal ganglion	0.975695026125803
FBgn0000052	Eye	0.703378090366581
FBgn0000053	Eye	0.671703296703297
FBgn0000054	Brain	0.398694472702611
FBgn0000055	Carcass	0.649910606689188
FBgn0000056	Head	0.679905182944564
FBgn0000057	Testis	0.757987987987988
FBgn0000061	Rectal pad	0.895833333333333
FBgn0000063	Testis	0.957924263674614
FBgn0000064	Carcass	0.744854203540999
FBgn0000071	Thoracicoabdominal ganglion	0.922149122807018
FBgn0000075	Rectal pad	0.707746478873239
FBgn0000077	Accessory glands	0.327194041867955
FBgn0000078	Midgut	0.988136433464487
FBgn0000079	Midgut	0.988816820968828
FBgn0000083	Crop	0.688814173731665
FBgn0000084	Thoracicoabdominal ganglion	0.597537647537648
FBgn0000092	Rectal pad	0.941316697098803
FBgn0000094	Accessory glands	0.995093375907518
FBgn0000097	Midgut	0.687399463806971
FBgn0000099	Brain	0.715041354106559
FBgn0000100	Accessory glands	0.658593866836683
FBgn0000108	Brain	0.829318846271327
FBgn0000109	Malpighian Tubules	0.512768817204301
FBgn0000114	Testis	0.935662102746711
FBgn0000115	Accessory glands	0.686082788007914
FBgn0000116	Hindgut	0.531119989785387
FBgn0000117	Eye	0.332852800500648
FBgn0000119	Salivary gland	0.666808089379154
FBgn0000120	Eye	0.984884303037045
FBgn0000121	Eye	0.985567167634925
FBgn0000137	Brain	0.783333333333333
FBgn0000139	Accessory glands	0.448898143328128
FBgn0000140	Testis	0.989905610907184
FBgn0000146	Testis	0.961259479063633
FBgn0000147	Testis	0.984399962409548
FBgn0000150	Accessory glands	0.639562948467058
FBgn0000152	Accessory glands	0.689698012232416
FBgn0000153	Eye	0.913642004032884
FBgn0000157	Head	0.841410877759828
FBgn0000158	Testis	0.878737541528239
FBgn0000163	Thoracicoabdominal ganglion	0.487599846941216
FBgn0000166	Salivary gland	0.63963963963964
FBgn0000173	Eye	0.428641990242329
FBgn0000179	Head	0.827217125382263
FBgn0000180	Thoracicoabdominal ganglion	0.914125370605676
FBgn0000181	Accessory glands	0.657938198203528
FBgn0000182	Testis	0.994297767550765
FBgn0000183	Thoracicoabdominal ganglion	0.389421234189345
FBgn0000206	Eye	0.984848484848485
FBgn0000210	Brain	0.733173076923077
FBgn0000212	Malpighian Tubules	0.509630503144654
FBgn0000216	Testis	0.916666666666667
FBgn0000221	Testis	0.555237315875614
FBgn0000227	Testis	0.996376811594203
FBgn0000228	Crop	0.554844216816048
FBgn0000229	Thoracicoabdominal ganglion	0.691574779841634
FBgn0000233	Head	0.703448275862069
FBgn0000239	Testis	0.574353192499407
FBgn0000241	Eye	0.930437060320311
FBgn0000244	Crop	0.548514878074981
FBgn0000246	Testis	0.658730158730159
